(Parent) ASIN,(Child) ASIN,Sessions - Total,Session Percentage - Total,Page Views - Total,Page Views Percentage - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Unit Session Percentage,Ordered Product Sales,Total Order Items,,,,
B0BKGCY4LT,B07X2PM468,36,0.29%,51,0.29%,43.14%,6,16.67%,217.4,4,,,,
B0BCKK1DYK,B07YDV28K4,125,1.00%,144,0.83%,15.60%,4,3.20%,63.96,4,,,,
B0BCYVZGD6,B08VSBSDBJ,87,0.70%,131,0.76%,99.24%,4,4.60%,219.76,4,,,,
B0CLVMPWMN,B0C6HZSJ5L,144,1.15%,195,1.13%,56.25%,4,2.78%,81.59,4,,,,
B0C6J2LKM8,B0C6J2LKM8,72,0.58%,100,0.58%,71.00%,5,6.94%,104.65,4,,,,
B09MB3DYG5,B07BV964S8,43,0.34%,56,0.32%,86.79%,4,9.30%,77.84,3,,,,
B09MB3DYG5,B07C9TNRX7,43,0.34%,56,0.32%,98.00%,5,11.63%,98.77,3,,,,
B08D6TS3KC,B07HKHJRLV,43,0.34%,51,0.29%,96.08%,3,6.98%,104.82,3,,,,
B07QGFLJ3C,B07QGFLJ3C,93,0.74%,140,0.81%,75.00%,5,5.38%,209,3,,,,
B085RPN7T1,B085RPN7T1,61,0.49%,87,0.50%,54.02%,3,4.92%,95.82,3,,,,
B0B8W5WB59,B08YQGRYM9,29,0.23%,43,0.25%,86.05%,4,13.79%,169.72,3,,,,
B09NRPGSF1,B09NRPGSF1,38,0.30%,51,0.29%,88.24%,3,7.89%,88.95,3,,,,
B0CLVMPWMN,B0C6J2X8CR,117,0.94%,147,0.85%,65.00%,3,2.56%,62.79,3,,,,
B0CF3W4HJC,B0CF3W4HJC,69,0.55%,80,0.46%,98.75%,3,4.35%,83.88,3,,,,
B0CLJG4SRH,B0CLJG4SRH,26,0.21%,33,0.19%,100.00%,3,11.54%,112.88,3,,,,
B0CLYGR5PX,B0CLYGR5PX,70,0.56%,105,0.61%,98.10%,9,12.86%,419.91,3,,,,
B079KG6L63,B079KG6L63,54,0.43%,59,0.34%,98.31%,2,3.70%,34.08,2,,,,
B0B6ZVMKN8,B07BBPKT5L,53,0.42%,61,0.35%,73.08%,3,5.66%,149.97,2,,,,
B07DLXD9B7,B07DLXD9B7,24,0.19%,29,0.17%,82.76%,4,16.67%,155.76,2,,,,
B0BM4S2MNW,B07SK6HT4C,43,0.34%,51,0.29%,100.00%,2,4.65%,239.88,2,,,,
B0B717L8QX,B07W6KWJN4,17,0.14%,21,0.12%,100.00%,3,17.65%,89.91,2,,,,
B0B135DQMN,B07Z23X3V3,29,0.23%,32,0.19%,100.00%,2,6.90%,41.86,2,,,,
B083KJMCWV,B082R2KCN5,15,0.12%,19,0.11%,100.00%,2,13.33%,115.88,2,,,,
B093RB68P3,B08RRY7YC6,42,0.34%,50,0.29%,97.96%,2,4.76%,99.88,2,,,,
B09DQ4L448,B09DQ4L448,35,0.28%,42,0.24%,100.00%,2,5.71%,125.86,2,,,,
B0B6CGHBJW,B0B6CGHBJW,38,0.30%,50,0.29%,100.00%,4,10.53%,99.76,2,,,,
B0BF5XCHNH,B0BF5SYH1K,15,0.12%,22,0.13%,100.00%,2,13.33%,129.88,2,,,,
B0C6HF3K1S,B0C4B4XT5W,9,0.07%,15,0.09%,100.00%,2,22.22%,159.88,2,,,,
B0C6J5YHQR,B0C6J5YHQR,30,0.24%,32,0.19%,96.88%,2,6.67%,83.86,2,,,,
B0CJMVJLKG,B0CJMVJLKG,28,0.22%,40,0.23%,95.00%,2,7.14%,116.88,2,,,,
B0CLJDXD6Q,B0CLJDXD6Q,8,0.06%,9,0.05%,77.78%,2,25.00%,47.88,2,,,,
B0CLJF5D8R,B0CLJF5D8R,15,0.12%,21,0.12%,76.19%,2,13.33%,51.88,2,,,,
B0BBVJHRTS,B01GYV9TBY,13,0.10%,16,0.09%,93.75%,1,7.69%,41.93,1,,,,
B0BC9HGX1Q,B06Y44VZDK,512,4.09%,714,4.13%,0.00%,1,0.20%,31.99,1,,,,
B0BB2VTB5H,B076F667DX,32,0.26%,42,0.24%,0.00%,4,12.50%,437.76,1,,,,
B0B6PN8991,B07BZFM5XR,59,0.47%,79,0.46%,82.19%,1,1.69%,84.94,1,,,,
B0B6PN8991,B07BZG3BY5,47,0.38%,51,0.29%,25.53%,1,2.13%,84.94,1,,,,
B08XNYD3DN,B07M6FBF1Z,122,0.98%,149,0.86%,2.76%,1,0.82%,31.94,1,,,,
B0BM4S2MNW,B07MG535V3,39,0.31%,45,0.26%,29.55%,1,2.56%,71.9,1,,,,
B0BF5MFXDN,B07SHGYW1Z,33,0.26%,38,0.22%,78.38%,1,3.03%,84.94,1,,,,
B07W7Q2BP8,B07W7Q2BP8,9,0.07%,9,0.05%,66.67%,10,111.11%,320,1,,,,
B08BHKXQM8,B08BHKXQM8,20,0.16%,25,0.14%,100.00%,1,5.00%,19.72,1,,,,
B0B33L66J3,B08DBP71Y7,61,0.49%,76,0.44%,0.00%,1,1.64%,25.94,1,,,,
B093RB68P3,B08SW1TDHT,29,0.23%,32,0.19%,100.00%,1,3.45%,84.94,1,,,,
B0B6P3FRQS,B08V1GLYMK,206,1.65%,294,1.70%,0.00%,1,0.49%,39.89,1,,,,
B0BCYVZGD6,B08VGRWQFB,21,0.17%,23,0.13%,38.89%,1,4.76%,35.94,1,,,,
B0BCYVZGD6,B08VSB96QD,86,0.69%,135,0.78%,5.22%,1,1.16%,64.8,1,,,,
B0BBV7BFYR,B08ZJF18HV,35,0.28%,47,0.27%,80.85%,1,2.86%,72.94,1,,,,
B0CK4TMKJX,B099K4K5Y1,5,0.04%,6,0.03%,100.00%,1,20.00%,60,1,,,,
B09ZXLK4S8,B09BN6L5HP,6,0.05%,8,0.05%,87.50%,2,33.33%,124.2,1,,,,
B09YXYPZNN,B09HXVDFZB,148,1.18%,206,1.19%,1.47%,1,0.68%,47.5,1,,,,
B09YXYPZNN,B09YVJBC3C,42,0.34%,52,0.30%,50.00%,1,2.38%,84.94,1,,,,
B0BF5MFXDN,B0B4DHQ3FV,22,0.18%,29,0.17%,100.00%,1,4.55%,84.94,1,,,,
B0BBB839RL,B0BBB6JDXL,31,0.25%,33,0.19%,87.88%,1,3.23%,45,1,,,,
B0BBFXSBCQ,B0BBFW79PQ,11,0.09%,13,0.08%,61.54%,1,9.09%,64.94,1,,,,
B0BF5XCHNH,B0BF5RPBP1,16,0.13%,32,0.19%,65.63%,1,6.25%,64.97,1,,,,
B0CCBSPQTG,B0BWJ8RP4H,32,0.26%,42,0.24%,100.00%,1,3.13%,24.94,1,,,,
B0C46QFZ1J,B0C46QFZ1J,9,0.07%,10,0.06%,20.00%,1,11.11%,58.4,1,,,,
B0C6HF3K1S,B0C4B4JNC8,2,0.02%,2,0.01%,100.00%,1,50.00%,79.94,1,,,,
B0C6HF3K1S,B0C4B4L7V9,3,0.02%,4,0.02%,100.00%,1,33.33%,79.94,1,,,,
B0CLYFL6DG,B0C6J2YMK4,29,0.23%,35,0.20%,39.39%,1,3.45%,20.93,1,,,,
